P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_UNLOG,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX
C-BAG-24-069,PokhariNarayansthan,Kavrepalanchok,Central,7.84,68701924,1.59,2945,0.03,177,5.15,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-070,PuranogaunDapcha,Kavrepalanchok,Central,7.97,92648493,2.15,1988,0.02,391.44,5.94,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-071,RaviOpi,Kavrepalanchok,Central,7.95,88713059,2.06,4315,0.04,418.14,6.01,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-072,Rayalebhir,Kavrepalanchok,Central,8.03,107706004,2.50,4302,0.04,174.26,5.14,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-073,Saldhara,Kavrepalanchok,Central,8.19,156597262,3.63,2646,0.03,133.95,4.88,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-074,SalleBhumlu,Kavrepalanchok,Central,7.71,51276177,1.19,1763,0.02,291.27,5.65,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-075,Salmechakala,Kavrepalanchok,Central,8.24,173949125,4.03,1721,0.02,150.67,4.99,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-076,ShankhupatiChour,Kavrepalanchok,Central,8.23,171353664,3.97,3372,0.03,503.4,6.19,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-077,Sanowangthali,Kavrepalanchok,Central,7.75,56417684,1.31,1509,0.02,118.69,4.75,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-078,Saping,Kavrepalanchok,Central,7.79,62338988,1.45,3246,0.03,165.38,5.09,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-079,SaradaBatase,Kavrepalanchok,Central,8.10,125254845,2.90,2368,0.02,504.73,6.20,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-080,Saramthali,Kavrepalanchok,Central,7.79,61217922,1.42,1071,0.01,235.73,5.44,97.66,9.74,31.37,3.18,27.34,3.31
